file_name,text
13.png, of Singen
8.png, ropackard
4.png, I Allen oh Park ony
6.png, Northville Exi 162
3.png, milanm Township
7.png, Ypsilanti an oue
2.png, REST AREA 1 MILE
1.png, Ypsilanti any cun
14.png, BABITE
9.png, Howell Cnty in
18.png, Amager Boulevard til Vermlandsgade 0619917 031218
10.png, I Fenton CITY limIt
17.png, Crapo Opaxobo Staro Oryahovo
24.png, KURANGKAN LAJU
16.png, IGive way
25.png, It OFFicE Its the fIrst LADY
11.png, Bugy
5.png, Stockbridge Adrian exit 159
12.png, Bella Italia Pizza Pasta Grill
23.png, PANDU LAJU waut MENUNGGU and
19.png, Gevaarljjie oversteek
15.png, will BABITE
20.png, HLAWnI PRAHA MEStO
21.png, DRBITa
22.png, Djupivogur
